date;open;high;low;close;volume
2013.10.25;137.988;138.320;137.742;138.020;33435
2013.10.28;138.080;138.171;137.748;137.829;27904
2013.10.29;137.831;138.129;137.364;137.465;37708
2013.10.30;137.465;137.841;136.961;137.217;35347
2013.10.31;137.219;137.384;135.750;135.880;41927
2013.11.01;135.878;135.892;134.799;134.858;37370
2013.11.04;134.910;135.244;134.425;135.121;29553
2013.11.05;135.121;135.221;134.489;134.717;33544
2013.11.06;134.717;135.472;134.675;135.149;30391
2013.11.07;135.151;135.286;132.959;134.131;43860
2013.11.08;134.134;134.376;133.178;133.644;38571
2013.11.11;133.574;134.158;133.445;134.065;27958
2013.11.12;134.065;134.558;133.591;134.345;40522
2013.11.13;134.344;134.972;133.900;134.816;39936
2013.11.14;134.816;134.940;134.182;134.585;38618
2013.11.15;134.582;135.046;134.319;134.943;31271
2013.11.18;134.917;135.417;134.743;135.037;32819
2013.11.19;135.034;135.469;134.876;135.354;35702
2013.11.20;135.353;135.770;134.152;134.390;40871
2013.11.21;134.387;134.862;133.992;134.753;40801
2013.11.22;134.753;135.567;134.621;135.554;32070
2013.11.25;135.536;135.600;134.902;135.220;29685
2013.11.26;135.217;135.747;135.193;135.666;31837
2013.11.27;135.673;136.128;135.576;135.776;34649
2013.11.28;135.776;136.179;135.635;136.025;27976
2013.11.29;136.022;136.214;135.798;135.901;35294
2013.12.02;135.878;136.152;135.259;135.385;36341
2013.12.03;135.390;136.134;135.241;135.885;37894
2013.12.04;135.889;136.052;135.282;135.898;41884
2013.12.05;135.896;136.771;135.431;136.722;45297
2013.12.06;136.720;137.061;136.195;137.045;37051
2013.12.09;137.101;137.452;136.943;137.351;30204
2013.12.10;137.354;137.947;137.341;137.589;33946
2013.12.11;137.592;138.105;137.412;137.861;34578
2013.12.12;137.862;138.030;137.376;137.501;40054
2013.12.13;137.498;137.689;137.093;137.376;35094
2013.12.16;137.370;137.984;137.361;137.582;35672
2013.12.17;137.583;137.820;137.230;137.711;35429
2013.12.18;137.712;138.111;136.727;136.750;44318
2013.12.19;136.750;136.938;136.492;136.549;42186
2013.12.20;136.548;137.090;136.251;136.700;39853
2013.12.23;136.723;137.164;136.714;136.957;28269
2013.12.24;136.953;136.987;136.547;136.794;20420
2013.12.26;136.854;137.018;136.797;136.889;15775
2013.12.27;136.885;138.930;136.881;137.462;40781
2013.12.30;137.586;138.189;137.285;137.937;32669
2013.12.31;137.938;138.123;137.596;137.876;24648
2014.01.01;137.550;137.648;137.372;137.580;2671
2014.01.02;137.581;137.749;136.294;136.643;58177
2014.01.03;136.643;136.716;135.821;135.874;38433
2014.01.06;135.955;136.528;135.712;136.334;40642
2014.01.07;136.334;136.562;135.966;136.138;38225
2014.01.08;136.142;136.349;135.533;135.749;41559
2014.01.09;135.746;136.328;135.484;136.017;41634
2014.01.10;136.016;136.871;135.721;136.665;38148
2014.01.13;136.662;136.846;136.373;136.680;38040
2014.01.14;136.680;136.992;136.490;136.722;38446
2014.01.15;136.728;136.760;135.812;136.042;38011
2014.01.16;136.043;136.492;135.830;136.162;39055
2014.01.17;136.163;136.208;135.168;135.405;35641
2014.01.20;135.325;135.677;135.074;135.557;29493
2014.01.21;135.557;135.687;135.162;135.591;37867
2014.01.22;135.588;135.832;135.344;135.447;37004
2014.01.23;135.451;136.981;135.303;136.931;47468
2014.01.24;136.930;137.393;136.627;136.752;46994
2014.01.27;136.800;137.163;136.529;136.728;43910
2014.01.28;136.730;136.882;136.290;136.517;38227
2014.01.29;136.519;136.845;136.029;136.608;47676
2014.01.30;136.609;136.642;135.434;135.565;45145
2014.01.31;135.567;135.733;134.790;134.849;47059
2014.02.03;134.855;135.353;134.770;135.258;43781
2014.02.04;135.260;135.384;134.934;135.143;40329
2014.02.05;135.147;135.552;134.986;135.361;47210
2014.02.06;135.361;136.188;134.841;135.898;48216
2014.02.07;135.898;136.425;135.516;136.342;44538
2014.02.10;136.232;136.513;136.179;136.442;27636
2014.02.11;136.441;136.827;136.291;136.372;33489
2014.02.12;136.375;136.525;135.620;135.948;36133
2014.02.13;135.952;136.916;135.852;136.787;37460
2014.02.14;136.785;137.145;136.735;136.918;33344
2014.02.17;137.007;137.240;136.919;137.047;24586
2014.02.18;137.047;137.696;136.943;137.604;32249
2014.02.19;137.601;137.730;137.242;137.321;28902
2014.02.20;137.322;137.623;136.857;137.202;34472
2014.02.21;137.208;137.583;137.018;137.380;28282
2014.02.24;137.382;137.710;137.081;137.336;29773
2014.02.25;137.337;137.668;137.152;137.447;32276
2014.02.26;137.449;137.569;136.614;136.831;33706
2014.02.27;136.831;137.266;136.430;137.080;34317
2014.02.28;137.081;138.241;136.940;138.016;40727
2014.03.03;137.856;137.924;137.260;137.361;36361
2014.03.04;137.362;137.812;137.206;137.395;33935
2014.03.05;137.396;137.491;137.072;137.361;31361
2014.03.06;137.361;138.723;137.210;138.596;36167
2014.03.07;138.599;139.146;138.522;138.746;46042
2014.03.10;138.761;138.976;138.614;138.769;47649
2014.03.11;138.767;138.784;138.335;138.545;52547
2014.03.12;138.545;139.142;138.432;139.018;57901
2014.03.13;139.018;139.666;138.454;138.676;89631
2014.03.14;138.676;139.374;138.473;139.134;77345
2014.03.17;139.062;139.474;138.788;139.252;54594
2014.03.18;139.251;139.427;138.797;139.304;65481
2014.03.19;139.304;139.329;138.095;138.223;71573
2014.03.20;138.226;138.448;137.490;137.782;73143
2014.03.21;137.781;138.106;137.654;137.933;52262
2014.03.24;137.914;138.757;137.601;138.380;62209
2014.03.25;138.381;138.470;137.490;138.250;77942
2014.03.26;138.249;138.263;137.762;137.830;65940
2014.03.27;137.834;137.967;137.283;137.437;73914
2014.03.28;137.436;137.729;137.047;137.513;62356
2014.03.31;137.531;138.085;137.215;137.735;71368
2014.04.01;137.734;138.152;137.690;137.932;56271
2014.04.02;137.931;138.201;137.530;137.651;54934
2014.04.03;137.653;138.066;136.980;137.168;72640
2014.04.04;137.169;137.312;136.725;137.014;72175
2014.04.07;137.008;137.483;136.960;137.412;40145
2014.04.08;137.413;138.116;137.371;137.946;70728
2014.04.09;137.955;138.620;137.799;138.536;70702
2014.04.10;138.534;138.988;138.357;138.868;43523
2014.04.11;138.868;139.057;138.632;138.844;38018
2014.04.14;138.573;138.627;138.080;138.181;40756
2014.04.15;138.185;138.332;137.899;138.133;38986
2014.04.16;138.133;138.507;138.035;138.160;38832
2014.04.17;138.160;138.645;138.109;138.131;33927
2014.04.18;138.130;138.222;138.068;138.068;10531
2014.04.21;138.164;138.302;137.869;137.944;17160
2014.04.22;137.945;138.247;137.849;138.053;29961
2014.04.23;138.052;138.545;138.001;138.160;37502
